(0, 0) (1, 38) (2, 532) 
(0, 0) (1, 38) (2, 583) 
(0, 0) (1, 38) (2, 587) 
(0, 0) (1, 38) (2, 591) 
(0, 0) (1, 38) (2, 598) 
(0, 0) (1, 38) (2, 606) 
(0, 0) (1, 38) (2, 633) 
(0, 0) (1, 38) (2, 634) 
(0, 0) (1, 38) (2, 649) 
(0, 0) (1, 38) (2, 650) 
(0, 0) (1, 38) (2, 663) 
(0, 0) (1, 38) (2, 722) 
(0, 0) (1, 38) (2, 787) 
(0, 0) (1, 38) (2, 816) 
(0, 0) (1, 38) (2, 833) 
(0, 0) (1, 38) (2, 866) 
(0, 0) (1, 38) (2, 989) 
(0, 0) (1, 38) (2, 996) 
(0, 0) (1, 39) (2, 6) 
(0, 0) (1, 39) (2, 25) 
(0, 0) (1, 39) (2, 78) 
(0, 0) (1, 39) (2, 101) 
(0, 0) (1, 39) (2, 130) 
(0, 0) (1, 39) (2, 165) 
(0, 0) (1, 39) (2, 183) 
(0, 0) (1, 39) (2, 185) 
(0, 0) (1, 39) (2, 253) 
(0, 0) (1, 39) (2, 281) 
(0, 0) (1, 39) (2, 309) 
(0, 0) (1, 39) (2, 322) 
(0, 0) (1, 39) (2, 338) 
(0, 0) (1, 39) (2, 389) 
(0, 0) (1, 39) (2, 420) 
(0, 0) (1, 39) (2, 425) 
(0, 0) (1, 39) (2, 430) 
(0, 0) (1, 39) (2, 441) 
(0, 0) (1, 39) (2, 462) 
(0, 0) (1, 39) (2, 463) 
(0, 0) (1, 39) (2, 473) 
(0, 0) (1, 39) (2, 475) 
(0, 0) (1, 39) (2, 479) 
(0, 0) (1, 39) (2, 508) 
(0, 0) (1, 39) (2, 521) 
(0, 0) (1, 39) (2, 532) 
(0, 0) (1, 39) (2, 575) 
(0, 0) (1, 39) (2, 585) 
(0, 0) (1, 39) (2, 598) 
(0, 0) (1, 39) (2, 606) 
(0, 0) (1, 39) (2, 612) 
(0, 0) (1, 39) (2, 624) 
(0, 0) (1, 39) (2, 625) 
(0, 0) (1, 39) (2, 627) 
(0, 0) (1, 39) (2, 636) 
(0, 0) (1, 39) (2, 650) 
(0, 0) (1, 39) (2, 670) 
(0, 0) (1, 39) (2, 679) 
(0, 0) (1, 39) (2, 726) 
(0, 0) (1, 39) (2, 731) 
(0, 0) (1, 39) (2, 746) 
(0, 0) (1, 39) (2, 769) 
(0, 0) (1, 39) (2, 807) 
(0, 0) (1, 39) (2, 818) 
(0, 0) (1, 39) (2, 840) 
(0, 0) (1, 39) (2, 846) 
(0, 0) (1, 39) (2, 866) 
(0, 0) (1, 39) (2, 918) 
(0, 0) (1, 39) (2, 948) 
(0, 0) (1, 39) (2, 950) 
(0, 0) (1, 39) (2, 965) 
(0, 0) (1, 39) (2, 989) 
(0, 0) (1, 39) (2, 997) 
(0, 0) (1, 45) (2, 19) 
(0, 0) (1, 45) (2, 24) 
(0, 0) (1, 45) (2, 126) 
(0, 0) (1, 45) (2, 130) 
(0, 0) (1, 45) (2, 165) 
(0, 0) (1, 45) (2, 189) 
(0, 0) (1, 45) (2, 190) 
(0, 0) (1, 45) (2, 229) 
(0, 0) (1, 45) (2, 244) 
(0, 0) (1, 45) (2, 251) 
(0, 0) (1, 45) (2, 322) 
(0, 0) (1, 45) (2, 325) 
(0, 0) (1, 45) (2, 346) 
(0, 0) (1, 45) (2, 407) 
(0, 0) (1, 45) (2, 458) 
(0, 0) (1, 45) (2, 462) 
(0, 0) (1, 45) (2, 494) 
(0, 0) (1, 45) (2, 495) 
(0, 0) (1, 45) (2, 532) 
(0, 0) (1, 45) (2, 544) 
(0, 0) (1, 45) (2, 583) 
(0, 0) (1, 45) (2, 598) 
(0, 0) (1, 45) (2, 612) 
(0, 0) (1, 45) (2, 633) 
(0, 0) (1, 45) (2, 649) 
(0, 0) (1, 45) (2, 667) 
(0, 0) (1, 45) (2, 720) 
(0, 0) (1, 45) (2, 722) 
(0, 0) (1, 45) (2, 751) 
(0, 0) (1, 45) (2, 769) 
(0, 0) (1, 45) (2, 772) 
(0, 0) (1, 45) (2, 777) 
(0, 0) (1, 45) (2, 807) 
(0, 0) (1, 45) (2, 812) 
(0, 0) (1, 45) (2, 840) 
(0, 0) (1, 45) (2, 846) 
(0, 0) (1, 45) (2, 847) 
(0, 0) (1, 45) (2, 853) 
(0, 0) (1, 45) (2, 959) 
(0, 0) (1, 45) (2, 974) 
(0, 0) (1, 45) (2, 990) 
(0, 0) (1, 52) (2, 17) 
(0, 0) (1, 52) (2, 25) 
(0, 0) (1, 52) (2, 71) 
(0, 0) (1, 52) (2, 76) 
(0, 0) (1, 52) (2, 97) 
(0, 0) (1, 52) (2, 126) 
(0, 0) (1, 52) (2, 134) 
(0, 0) (1, 52) (2, 183) 
(0, 0) (1, 52) (2, 226) 
(0, 0) (1, 52) (2, 229) 
(0, 0) (1, 52) (2, 235) 
(0, 0) (1, 52) (2, 244) 
(0, 0) (1, 52) (2, 325) 
(0, 0) (1, 52) (2, 328) 
(0, 0) (1, 52) (2, 347) 
(0, 0) (1, 52) (2, 356) 
(0, 0) (1, 52) (2, 379) 
(0, 0) (1, 52) (2, 383) 
(0, 0) (1, 52) (2, 390) 
(0, 0) (1, 52) (2, 407) 
(0, 0) (1, 52) (2, 417) 
(0, 0) (1, 52) (2, 441) 
(0, 0) (1, 52) (2, 459) 
(0, 0) (1, 52) (2, 471) 
(0, 0) (1, 52) (2, 500) 
(0, 0) (1, 52) (2, 534) 
(0, 0) (1, 52) (2, 565) 
(0, 0) (1, 52) (2, 598) 
(0, 0) (1, 52) (2, 606) 
(0, 0) (1, 52) (2, 624) 
(0, 0) (1, 52) (2, 625) 
(0, 0) (1, 52) (2, 670) 
(0, 0) (1, 52) (2, 723) 
(0, 0) (1, 52) (2, 734) 
(0, 0) (1, 52) (2, 746) 
(0, 0) (1, 52) (2, 756) 
(0, 0) (1, 52) (2, 769) 
(0, 0) (1, 52) (2, 772) 
(0, 0) (1, 52) (2, 787) 
(0, 0) (1, 52) (2, 807) 
(0, 0) (1, 52) (2, 847) 
(0, 0) (1, 52) (2, 909) 
(0, 0) (1, 52) (2, 918) 
(0, 0) (1, 52) (2, 948) 
(0, 0) (1, 52) (2, 959) 
(0, 0) (1, 52) (2, 987) 
(0, 0) (1, 52) (2, 988) 
(0, 0) (1, 52) (2, 990) 
(0, 0) (1, 59) (2, 71) 
(0, 0) (1, 59) (2, 78) 
(0, 0) (1, 59) (2, 95) 
(0, 0) (1, 59) (2, 100) 
(0, 0) (1, 59) (2, 130) 
(0, 0) (1, 59) (2, 243) 
(0, 0) (1, 59) (2, 257) 
(0, 0) (1, 59) (2, 269) 
(0, 0) (1, 59) (2, 288) 
(0, 0) (1, 59) (2, 298) 
(0, 0) (1, 59) (2, 317) 
(0, 0) (1, 59) (2, 321) 
